Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0201_0603Metric",146.870000,-114.525000,180.000000,bottom
"C2","10u","C_0201_0603Metric",145.050000,-99.320000,-90.000000,bottom
"C3","2.2u","C_0201_0603Metric",140.980000,-95.625000,180.000000,bottom
"C4","47n","C_0201_0603Metric",150.137500,-95.435000,0.000000,bottom
"C5","2.2u","C_0201_0603Metric",142.955000,-91.150000,180.000000,bottom
"C6","10u","C_0201_0603Metric",154.280000,-91.125000,0.000000,bottom
"C7","NTCLE101E3C90173","CAP_E3C90173_VIS",163.350000,-89.475000,0.000000,bottom
"C8","2.2u","C_0201_0603Metric",145.300000,-103.185000,180.000000,bottom
"CR1","SMBJ5.0A-TR","SMB_STM",130.194700,-89.575000,180.000000,bottom
"D1","CDBA340-HF","D_SMA",138.175000,-97.600000,90.000000,bottom
"D2","CDBA340-HF","D_SMA",143.605000,-110.785000,90.000000,bottom
"J1","B2B-PH-SM4-TB_LF__SN_","PinHeader_1x2_P2mm",154.800000,-83.550000,180.000000,bottom
"J3","54548-2271","MOLEX_54548-2271",132.252800,-102.852250,90.000000,bottom
"J4","USB4105-GF-A","GCT_USB4105-GF-A",138.487500,-131.805000,180.000000,bottom
"J6","USB4105-GF-A","GCT_USB4105-GF-A",138.050000,-81.250000,0.000000,bottom
"L1","2.2u","L_0201_0603Metric",147.130000,-104.960000,90.000000,bottom
"L2","1u","L_0201_0603Metric",150.987500,-93.510000,0.000000,bottom
"Q1","DMP3013SFV","Diodes_PowerDI3333-8",151.305000,-100.535000,0.000000,bottom
"R1"," 4.527","R_0201_0603Metric",158.550000,-91.305000,90.000000,bottom
"R2","23.26","R_0201_0603Metric",158.525000,-87.855000,90.000000,bottom
"R3","56k","R_0201_0603Metric",140.870000,-124.600000,180.000000,bottom
"R4","56k","R_0201_0603Metric",136.480000,-124.625000,0.000000,bottom
"R5","1","R_0201_0603Metric",141.150000,-101.255000,90.000000,bottom
"R6","5.1k","R_0201_0603Metric",136.800000,-87.720000,90.000000,bottom
"R9","5.1k","R_0201_0603Metric",138.525000,-87.730000,90.000000,bottom
"R10","20k","R_0201_0603Metric",142.930000,-89.975000,0.000000,bottom
"U1","BQ25302RTER","RTE0016C",147.375000,-89.724997,0.000000,bottom
"U3","TPD2EUSB30","Texas_DRT-3",137.950000,-124.725000,0.000000,bottom
"U5","TPS613222ADBZ","SOT-23",148.092500,-109.060000,0.000000,bottom
